SITECODE,SITENAME,RELEASE_DA,MS
DE7413441,Kammbach-Niederung,2019/12/13,DE
DE7322401,Grienwiesen und Wernauer Baggerseen,2019/12/13,DE
DE7021401,Pleidelsheimer Wiesental mit Altneckar,2019/12/13,DE
DE7313442,Korker Wald,2019/12/13,DE
DE7513442,Gottswald,2019/12/13,DE
DE7327441,Eselsburger Tal,2019/12/13,DE
DE7519401,Mittlerer Rammert,2019/12/13,DE
DE7418401,Ziegelberg,2019/12/13,DE
DE7624441,Täler der Mittleren Flächenalb,2019/12/13,DE
DE7527441,Donauried,2019/12/13,DE
DE7323441,Vorland der mittleren Schwäbischen Alb,2019/12/13,DE
DE7415441,Nordschwarzwald,2019/12/13,DE
DE7712402,Elzniederung zwischen Kenzingen und Rust,2019/12/13,DE
DE7717401,Schlichemtal,2019/12/13,DE
DE7624402,Schmiechener See,2019/12/13,DE
DE7915441,Mittlerer Schwarzwald,2019/12/13,DE
DE7712403,Johanniterwald,2019/12/13,DE
DE7921401,Baggerseen Krauchenwies/Zielfingen,2019/12/13,DE
DE7712401,Rheinniederung Sasbach - Wittenweier,2019/12/13,DE
DE7924401,Lindenweiher,2019/12/13,DE
DE8011441,Bremgarten,2019/12/13,DE
DE7923401,Federseeried,2019/12/13,DE
DE7617401,Brandhalde,2019/12/13,DE
DE8017441,Baar,2019/12/13,DE
DE8011401,Rheinniederung Neuenburg - Breisach,2019/12/13,DE
DE7820441,Südwestalb und Oberes Donautal,2019/12/13,DE
DE8018401,Höwenegg,2019/12/13,DE
DE8123441,Blitzenreuter Seenplatte mit Altshauser Weiher,2019/12/13,DE
DE8022401,Pfrunger und Burgweiler Ried,2019/12/13,DE
DE8012441,Schönberg bei Freiburg,2019/12/13,DE
DE8114441,Südschwarzwald,2019/12/13,DE
DE8116441,Wutach und Baaralb,2019/12/13,DE
DE8125441,Rohrsee,2019/12/13,DE
DE8218401,Hohentwiel/Hohenkrähen,2019/12/13,DE
DE8220403,Mindelsee,2019/12/13,DE
DE8220404,Überlinger See des Bodensees,2019/12/13,DE
DE8025401,Wurzacher Ried,2019/12/13,DE
DE8211401,Rheinniederung Haltingen - Neuenburg mit Vorbergzone,2019/12/13,DE
DE8226441,Adelegg,2019/12/13,DE
DE8311441,Tüllinger Berg und Gleusen,2019/12/13,DE
DE8220401,Untersee des Bodensees,2019/12/13,DE
DE8323401,Eriskircher Ried,2019/12/13,DE
DE8221401,Salemer Klosterweiher,2019/12/13,DE
DE8321401,Konstanzer Bucht des Bodensees,2019/12/13,DE
DE7114441,Rheinniederung von der Rench- bis zur Murgmündung,2019/12/13,DE
DE8220402,Bodanrück,2019/12/13,DE
DE7718441,Wiesenlandschaft bei Balingen,2019/12/13,DE
DE7127401,Tierstein mit Hangwald und Egerquelle,2019/12/13,DE
DE7121441,Vogelinsel Max-Eyth-See,2019/12/13,DE
DE7422441,Mittlere Schwäbische Alb,2019/12/13,DE
DE7121442,Unteres Remstal,2019/12/13,DE
DE7126401,Ostalbtrauf bei Aalen,2019/12/13,DE
DE7425401,Salenberg,2019/12/13,DE
DE7911401,Rheinniederung Breisach - Sasbach mit Limberg,2019/12/13,DE
DE7512401,Rheinniederung Nonnenweier - Kehl,2019/12/13,DE
DE7419401,Kochhartgraben und Ammertalhänge,2019/12/13,DE
DE7123441,"Streuobst- und Weinberggebiete zw. Geradstetten, Rudersberg...",2019/12/13,DE
DE7420441,Schönbuch,2019/12/13,DE
DE8325441,Bodenmöser,2019/12/13,DE
DE7912441,Mooswälder bei Freiburg,2019/12/13,DE
DE7912442,Kaiserstuhl,2019/12/13,DE
DE1343401,Plantagenetgrund,2019/12/13,DE
DE8324441,Schwarzensee und Kolbenmoos,2019/12/13,DE
DE1446401,Binnenbodden von Rügen,2019/12/13,DE
DE7513441,Kinzig-Schutter-Niederung,2019/12/13,DE
DE1542401,Vorpommersche Boddenlandschaft und nördlicher Strelasund,2019/12/13,DE
DE2031471,Feldmark und Uferzone an Untertrave und Dassower See,2019/12/13,DE
DE2036401,Kariner Land,2019/12/13,DE
DE3630401,Laubwälder zwischen Braunschweig und Wolfsburg,2019/12/13,DE
DE3627401,Wendesser Moor,2019/12/13,DE
